ID,bgnDt,endDt,Duration,Volume,Peak,AvQ,POT
737,8/30/1972,9/3/1972,5,33.5,10,6.7,1.492537313
739,9/5/1972,10/19/1972,45,1484.8,133,32.99555556,4.030845905
741,10/21/1972,12/6/1972,47,10223.8,1080,217.5276596,4.964885855
743,12/8/1972,12/30/1972,23,1469,200,63.86956522,3.131381892
745,1/1/1973,2/6/1973,37,8643,718,233.5945946,3.073701261
747,2/8/1973,3/14/1973,35,13264,1730,378.9714286,4.564987937
749,3/16/1973,4/4/1973,20,11526,1420,576.3,2.463994447
751,4/6/1973,4/13/1973,8,2813,903,351.625,2.568076786
753,4/15/1973,4/30/1973,16,30428,6560,1901.75,3.44945445
755,5/2/1973,5/29/1973,28,2698.7,586,96.38214286,6.079964427
757,5/31/1973,7/3/1973,34,32974,5550,969.8235294,5.722690605
759,7/5/1973,7/19/1973,15,3428,1540,228.5333333,6.738623104
761,7/21/1973,8/26/1973,37,3117,550,84.24324324,6.528713507
763,8/28/1973,9/23/1973,27,9452,3230,350.0740741,9.226618705
765,9/25/1973,10/25/1973,31,28062,4290,905.2258065,4.739149027
767,10/27/1973,12/1/1973,36,5807.9,695,161.3305556,4.307925412
769,12/4/1973,12/16/1973,13,548.5,189,42.19230769,4.479489517
771,12/18/1973,3/12/1974,85,37066.87,3170,436.0808235,7.269294656
773,3/14/1974,3/22/1974,9,1804.52,859,200.5022222,4.284241793
